"After Brand Title","After Brand Title"
"After Brand Description","After Brand Description"
"Above Page Footer","Above Page Footer"
"Product Page More Information Tab","Product Page More Information Tab"
"Default Category Layout","Default Category Layout"
Empty,Empty
"1 Column","1 Column"
"2 Columns with Left Bar","2 Columns with Left Bar"
"2 Columns with Right Bar","2 Columns with Right Bar"
"3 Columns","3 Columns"
"Short Description","Short Description"
"Additional Brand Information","Additional Brand Information"
Design,Design
Layout,Layout
"Brand Info Block Position","Brand Info Block Position"
"Manufacturer or Importer Postal Address","Manufacturer or Importer Postal Address"
"Manufacturer or Importer Electronic Address","Manufacturer or Importer Electronic Address"
"Responsible Person’s Contact Information","Responsible Person’s Contact Information"
"Display Additional Brand Information","Display Additional Brand Information"
"Brand Fields for the Widget","Brand Fields for the Widget"
"The selected brand fields will be displayed in the widget. Select all or leave empty to display all fields.","The selected brand fields will be displayed in the widget. Select all or leave empty to display all fields."
