Items,Items
Item,Item
Show,Show
more,more
Less,Less
item,item
items,items
"Filter %1 in %2 filters","Filter %1 in %2 filters"
" star(s)"," star(s)"
"&amp; up","&amp; up"
"Filter %1 in sidebar","Filter %1 in sidebar"
"Active filtering","Active filtering"
"Remove This Item","Remove This Item"
"Clear All","Clear All"
"Shop By","Shop By"
From,From
To,To
"Apply filter","Apply filter"
Apply,Apply
"Show (%1) more","Show (%1) more"
Search,Search
"Apply Filters","Apply Filters"
Previous,Previous
Next,Next
Category,Category
image,image
