Yes,Oui
No,Non
Configure,Configurer
Close,Fermer
"BRIPPO Payments (by <a target=""_blank"" href=""https://ebizmarts.com"">Ebizmarts</a>)","BRIPPO Payments (par <a target=""_blank"" href=""https://ebizmarts.com"">Ebizmarts</a>)"
"This solution is powered by <i>Stripe Connect</i>.","Cette solution est alimentée par <i>Stripe Connect</i>."
"Need support? <a href=""mailto:support@ebizmarts-desk.zendesk.com"">Submit a ticket</a>","Besoin d'aide ? <a href=""mailto:support@ebizmarts-desk.zendesk.com"">Soumettez un ticket</a>"
"Create Account","Créer un compte"
"Test Mode","Mode Test"
Email,Courriel
"Store URL","URL du magasin"
"By continuing, you agree to our <a href=""https://brippo.s3.amazonaws.com/agreements/Brippo_Customer_TCs.pdf"" target=""_blank"">Terms of Service</a>.","En continuant, vous acceptez nos <a href=""https://brippo.s3.amazonaws.com/agreements/Brippo_Customer_TCs.pdf"" target=""_blank"">Conditions de service</a>."
Continue,Continuer
"Authorization completed successfully.","Autorisation terminée avec succès."
"Notified customer about invoice creation #%1.","Client notifié de la création de la facture #%1."
"Order payment not found.","Paiement de la commande introuvable."
"Invalid Payments Service response status ' . . '.","Statut de réponse du service de paiement invalide ' . . '."
"Invalid URL provided from Platform Service.","URL fournie par le service de plateforme invalide."
"Invalid Tokens provided from Platform Service during onboarding completion.","Jetons fournis par le service de plateforme invalides lors de l'achèvement de l'intégration."
"Invalid response from Platform Service during onboarding completion.","Réponse invalide du service de plateforme lors de l'achèvement de l'intégration."
"Invalid Platform Service response status ' . . '.","Statut de réponse invalide du service de plateforme ' . . '."
message,message
"Invalid Platform Service response.","Réponse invalide du service de plateforme."
"Unknown event type","Type d'événement inconnu"
"Event with ID %1 has already been processed.","L'événement avec l'ID %1 a déjà été traité."
Test,Test
Live,"En direct"
"Capture failed. Invalid Payment Intent ID.","Échec de la capture. Identifiant d'intention de paiement invalide."
"Capture failed. Payment Intent status is status.","Échec de la capture. Le statut de l'intention de paiement est status."
"Online refund failed to process, please try again.","Le remboursement en ligne n'a pas pu être traité, veuillez réessayer."
"Stripe Card Fingerprints not found for customer #' . . '.","Empreintes digitales de la carte Stripe non trouvées pour le client n° ' . . '."
"Invalid Payments Service response status 400.","Statut de réponse du service de paiement invalide 400."
Refunds,Remboursements
"Payment Link ID","ID du lien de paiement"
"Payment Link Status","Statut du lien de paiement"
"Email Sent","E-mail envoyé"
"Charge ID","ID de la charge"
"There is no charge associated with this payment intent.","Aucune charge associée à cette intention de paiement."
"Intent ID","ID de l'intention"
Status,Statut
Amount,Montant
Captured,Capturé
Refunded,Remboursé
Error,Erreur
"Frontend Source","Source Frontend"
Wallet,Portefeuille
"Card Brand","Marque de la carte"
"Card Last 4","4 derniers chiffres de la carte"
"Card Country","Pays de la carte"
"Card Type","Type de carte"
"Fraud Risk","Risque de fraude"
"Street Check","Vérification de l'adresse"
"Zip Check","Vérification du code postal"
"CVC Check","Vérification du CVC"
"Account Id","ID du compte"
"Submitted Details","Détails soumis"
"Charge Enabled","Charge activée"
"Webhook Mapping","Mapping du webhook"
Completed,Complété
Dashboard,Panneau de bord
"Update Details","Mettre à jour les détails"
"Are you sure you want to reset this connected account?","Êtes-vous sûr de vouloir réinitialiser ce compte connecté ?"
Mode,Mode
"Live Account Status","État du compte en direct"
"Test Account Status","État du compte de test"
"Monitoring Cron","Surveillance du Cron"
"Invalid discount code.","Code de réduction invalide."
"No shipping options available for your address.","Aucune option d'expédition disponible pour votre adresse."
"'Unable to find order with id ' .","Impossible de trouver la commande avec l'identifiant ' ."
"Your cart is empty, please refresh the page and try again.","Votre panier est vide, veuillez rafraîchir la page et réessayer."
"Unable to process the order. Please contact support.","Impossible de traiter la commande. Veuillez contacter le support."
"Order Id not provided.","Identifiant de commande non fourni."
"Order with id "" . . "" not found.","Commande avec l'identifiant "" . . "" introuvable."
"Invalid payment intent provided.","Intention de paiement invalide fournie."
"Were unable to process the order, please contact support","Impossible de traiter la commande, veuillez contacter le support"
"Capture failed. Payment Intent status is status.","Échec de la capture. Le statut de l'intention de paiement est status."
"""Unable to place Apple's Domain-Association-File. Please manually move "" . . "" to "" . . "". Create directory if necessary and make sure is publicly accessible at "" . . .","Impossible de placer le fichier d'association de domaine d'Apple. Veuillez déplacer manuellement "" . . "" vers "" . . "". Créez un répertoire si nécessaire et assurez-vous qu'il est accessible publiquement à "" . . ."
"No recipient name provided.","Aucun nom de destinataire fourni."
"Grand Total","Total général"
Items,Articles
"'Tax' .","'Taxe' ."
Shipping,Expédition
Discount,Réduction
Checkout,Vérifier
Minicart,Mini-panier
Cart,Panier
"Product Page","Page du produit"
"Please check the billing address information. Invalid country code:","Veuillez vérifier les informations sur l'adresse de facturation. Code de pays invalide :"
"Please check the billing address information. Invalid region:","Veuillez vérifier les informations sur l'adresse de facturation. Région invalide :"
"Please check the shipping address information. Invalid country code:","Veuillez vérifier les informations sur l'adresse de livraison. Code de pays invalide :"
"Please check the shipping address information. Invalid region:","Veuillez vérifier les informations sur l'adresse de livraison. Région invalide :"
Automatic,Automatique
Manual,Manuel
"On Status Change","Lors du changement d'état"
"Wallet Button","Bouton du portefeuille"
"Checkout Default","Validation par défaut"
"Payment Methods List","Liste des méthodes de paiement"
"On Top","En haut"
Dark,Sombre
Light,Clair
"Light Outline","Contour clair"
"Default (Only logo)","Par défaut (Logo uniquement)"
Book,Livre
Buy,Acheter
Donate,"Faire un don"
Stripe,Stripe
Night,Nuit
Flat,Plat
None,Aucun
"Clean cart and checkout only that product","Vider le panier et passer uniquement cette commande"
"Add to existing cart and checkout","Ajouter au panier existant et passer à la commande"
"Add to existing cart and checkout (qty increments)", "Ajouter au panier existant et passer à la commande (incréments de quantité)"
"Enforce for all if available","Appliquer pour tous s'il est disponible"
"Enforce if available only if amount exceeds threshold","Appliquer seulement si disponible et si le montant dépasse le seuil"
"Automatic depending on fraud score","Automatique en fonction du score de fraude"
