"Are you sure you want to do this?","Are you sure you want to do this?"
Delete,Delete
"Save and Continue Edit","Save and Continue Edit"
Save,Save
"Cookie Settings","Cookie Settings"
"You deleted the cookie.","You deleted the cookie."
"We can't delete cookie right now. Please review the log and try again.","We can't delete cookie right now. Please review the log and try again."
"New Cookie","New Cookie"
"Edit Cookie %1","Edit Cookie %1"
Cookies,Cookies
"%1 cookie(s) has been successfully deleted","%1 cookie(s) has been successfully deleted"
"An error has occurred","An error has occurred"
"You saved the item.","You saved the item."
"An error has occurred.","An error has occurred."
"Cookie Consents Log","Cookie Consents Log"
"You deleted the cookie group.","You deleted the cookie group."
"We can't delete cookie group right now. Please review the log and try again.","We can't delete cookie group right now. Please review the log and try again."
"New Cookie Group","New Cookie Group"
"Edit Cookie Group %1","Edit Cookie Group %1"
"Cookie Groups","Cookie Groups"
"%1 cookie group(s) has been successfully deleted","%1 cookie group(s) has been successfully deleted"
"An error has occured","An error has occured"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Something went wrong while saving the cookie data. Please try again later.","Something went wrong while saving the cookie data. Please try again later."
message,message
Footer,Footer
Top,Top
Classic,Classic
"Side Bar","Side Bar"
"Pop Up","Pop Up"
"All Countries","All Countries"
"EEA Countries","EEA Countries"
"Specified Countries","Specified Countries"
Yes,Yes
"No (Recommended)","No (Recommended)"
"Accept Cookies","Accept Cookies"
"Custom Settings","Custom Settings"
"Decline Cookies","Decline Cookies"
"More Information","More Information"
"Allow all Cookies","Allow all Cookies"
None,None
"1st Party","1st Party"
"3rd Party","3rd Party"
No,No
"Unable to save cookie consent with ID %1. Error: %2","Unable to save cookie consent with ID %1. Error: %2"
"Unable to save new withConsent. Error: %1","Unable to save new withConsent. Error: %1"
"Cookie Consent with specified ID ""%1"" not found.","Cookie Consent with specified ID ""%1"" not found."
"Unable to remove Cookie Consent with ID %1. Error: %2","Unable to remove Cookie Consent with ID %1. Error: %2"
"Unable to remove Cookie Consent. Error: %1","Unable to remove Cookie Consent. Error: %1"
"Unable to save cookie group with ID %1. Error: %2","Unable to save cookie group with ID %1. Error: %2"
"Unable to save new cookie group. Error: %1","Unable to save new cookie group. Error: %1"
"Cookie group with specified ID ""%1"" not found.","Cookie group with specified ID ""%1"" not found."
"Unable to remove cookie group with ID %1. Error: %2","Unable to remove cookie group with ID %1. Error: %2"
"Unable to remove cookie group. Error: %1","Unable to remove cookie group. Error: %1"
"Unable to save cookie with ID %1. Error: %2","Unable to save cookie with ID %1. Error: %2"
"Unable to save new cookie. Error: %1","Unable to save new cookie. Error: %1"
"Cookie with specified ID ""%1"" not found.","Cookie with specified ID ""%1"" not found."
"Cookie with specified Name ""%1"" not found.","Cookie with specified Name ""%1"" not found."
"Unable to remove cookie with ID %1. Error: %2","Unable to remove cookie with ID %1. Error: %2"
"Unable to remove cookie. Error: %1","Unable to remove cookie. Error: %1"
Guest,Guest
"All Allowed","All Allowed"
"None cookies allowed","None cookies allowed"
"[STORE VIEW]","[STORE VIEW]"
"Amasty GDPR cookie error: cookies ""%1"" are in different groups ""%2"".","Amasty GDPR cookie error: cookies ""%1"" are in different groups ""%2""."
Allowed,Allowed
"Amasty Cookie Consent","Amasty Cookie Consent"
"Amasty Cookie Consent Settings","Amasty Cookie Consent Settings"
"Cookie Consent","Cookie Consent"
"General Settings","General Settings"
"Enable Cookie Policy Bar","Enable Cookie Policy Bar"
"Hide the Cookie Bar if No Decision Was Taken","Hide the Cookie Bar if No Decision Was Taken"
"According to the GDPR requirements, the cookie bar should be displayed in case the customer did not interact with it. Set 'Yes' if you don't want the Cookie Bar to be displayed to customers on new pages unless they accept or decline cookies on the bar.","According to the GDPR requirements, the cookie bar should be displayed in case the customer did not interact with it. Set 'Yes' if you don't want the Cookie Bar to be displayed to customers on new pages unless they accept or decline cookies on the bar."
"Country Restrictions","Country Restrictions"
"It is possible to adjust the visibility of Cookie Policy Bar on frontend according to customer location. Enable the Cookie Policy Bar for All Countries, EEA Countries or specific Countries selected in the list below..","It is possible to adjust the visibility of Cookie Policy Bar on frontend according to customer location. Enable the Cookie Policy Bar for All Countries, EEA Countries or specific Countries selected in the list below.."
"Display for Specific Countries","Display for Specific Countries"
"Log Guest Cookie Consent","Log Guest Cookie Consent"
"If enabled, guest users who give the consent will be logged and displayed in Consent Log.","If enabled, guest users who give the consent will be logged and displayed in Consent Log."
"Cookie Log Auto-Cleaning Period (Days)","Cookie Log Auto-Cleaning Period (Days)"
"All records that been stored for the longer period will be automatically removed from the Cookie Consent Log and your database.","All records that been stored for the longer period will be automatically removed from the Cookie Consent Log and your database."
"Cookie Bar Customization","Cookie Bar Customization"
"Cookie Bar Style","Cookie Bar Style"
"Classic Bar","Classic Bar"
"Cookie Bar Location","Cookie Bar Location"
"Notification Text","Notification Text"
"You can use any HTML-tags in this field. Please, mind the security.","You can use any HTML-tags in this field. Please, mind the security."
"Background Color","Background Color"
"Policy Text Color","Policy Text Color"
"Links Color","Links Color"
"Accept Button","Accept Button"
"Button Name","Button Name"
"Sort Order","Sort Order"
"Button Color","Button Color"
"Button Color on Hover","Button Color on Hover"
"Text Color","Text Color"
"Text Color on Hover","Text Color on Hover"
"Decline Button","Decline Button"
Enable,Enable
"Custom Settings Button","Custom Settings Button"
"Cookie Group Title Text Color","Cookie Group Title Text Color"
"Cookie Group Description Text Color","Cookie Group Description Text Color"
"Toggle Active State Color","Toggle Active State Color"
"Click the field to choose color","Click the field to choose color"
"Toggle Inactive State Color","Toggle Inactive State Color"
"Allow All Button","Allow All Button"
"Cookie Settings Popup Customization","Cookie Settings Popup Customization"
"Done Button","Done Button"
"Cookie Information Popup Customization","Cookie Information Popup Customization"
"Title Color","Title Color"
"Description Color","Description Color"
"Table Header Color","Table Header Color"
"Table Content Color","Table Content Color"
"Google Consent Mode","Google Consent Mode"
"Enable <a href=""https://support.google.com/analytics/answer/9976101"" target=""_blank"">Google consent mode</a> to send data to GA4 using conversion modeling and behavior modeling if the user declined cookies.","Enable <a href=""https://support.google.com/analytics/answer/9976101"" target=""_blank"">Google consent mode</a> to send data to GA4 using conversion modeling and behavior modeling if the user declined cookies."
"UET Consent Mode (Microsoft Advertising)","UET Consent Mode (Microsoft Advertising)"
"Enable <a href=""https://help.ads.microsoft.com/#apex/ads/en/60119/1"" target=""_blank"">UET Tag сonsent mode</a> to adjust Microsoft tag behavior based on the user's default consent state before cookies are accepted or declined.","Enable <a href=""https://help.ads.microsoft.com/#apex/ads/en/60119/1"" target=""_blank"">UET Tag сonsent mode</a> to adjust Microsoft tag behavior based on the user's default consent state before cookies are accepted or declined."
"Microsoft Clarity Consent Mode","Microsoft Clarity Consent Mode"
"Enable <a href=""https://learn.microsoft.com/en-us/clarity/setup-and-installation/consent-management"" target=""_blank"">Clarity consent mode</a> to send the consent state to Clarity based on the user preferences, as well as send the default state before user accepts/declines the cookies.","Enable <a href=""https://learn.microsoft.com/en-us/clarity/setup-and-installation/consent-management"" target=""_blank"">Clarity consent mode</a> to send the consent state to Clarity based on the user preferences, as well as send the default state before user accepts/declines the cookies."
"Customer Id","Customer Id"
"Customer Name","Customer Name"
"Customer Email","Customer Email"
"Ip Address","Ip Address"
Website,Website
Date,Date
"Consent Status","Consent Status"
Back,Back
Settings,Settings
Enabled,Enabled
"Cookie Name","Cookie Name"
"It is possible to configure a cookie name with a wildcard (*) that allows for a generalized matching of names, for instance, '*ga' to correspond to 'user_ga' and 'session_ga'. To write a cookie name using the wildcard, please use curly braces, e.g. {*ga}.","It is possible to configure a cookie name with a wildcard (*) that allows for a generalized matching of names, for instance, '*ga' to correspond to 'user_ga' and 'session_ga'. To write a cookie name using the wildcard, please use curly braces, e.g. {*ga}."
"Cookie Provider","Cookie Provider"
Description,Description
"Cookie Lifetime","Cookie Lifetime"
"Cookie Type","Cookie Type"
"Cookie Group","Cookie Group"
"Is Essential","Is Essential"
"Cookie Group Name","Cookie Group Name"
"Assigned Cookies","Assigned Cookies"
"Sort Order of cookie groups in the cookie bar.","Sort Order of cookie groups in the cookie bar."
"Add New Group","Add New Group"
"Delete Cookie Groups","Delete Cookie Groups"
"Are you sure you want to delete selected cookie groups?","Are you sure you want to delete selected cookie groups?"
ID,ID
"Is Enabled","Is Enabled"
Edit,Edit
"Add New Cookie","Add New Cookie"
"Select Cookie Group..","Select Cookie Group.."
"Delete Cookies","Delete Cookies"
"Are you sure you want to delete selected cookies?","Are you sure you want to delete selected cookies?"
