"Accept Cookies","Accept Cookies"
"Decline Cookies","Decline Cookies"
"Allow all Cookies","Allow all Cookies"
"Custom Settings","Custom Settings"
"Cookie Name","Cookie Name"
"Cookie Provider","Cookie Provider"
"Cookie Description","Cookie Description"
"Cookie Lifetime","Cookie Lifetime"
"Cookie Type","Cookie Type"
"More Information","More Information"
"Please select and accept your Cookies Group","Please select and accept your Cookies Group"
About,About
"Cookie Group","Cookie Group"
"Close Cookie Bar","Close Cookie Bar"
"Cookie Settings","Cookie Settings"
"Allow all","Allow all"
Save,Save
"Cookies Group Fieldset","Cookies Group Fieldset"
"Cookie Bar","Cookie Bar"
Done,Done
"Cookie Group Information","Cookie Group Information"
