"Cookie Bar","Cookie Bar"
Done,Done
"Close Cookie Bar","Close Cookie Bar"
"More Information","More Information"
"Cookie Bar Settings","Cookie Bar Settings"
"Close Cookie Bar Settings","Close Cookie Bar Settings"
Close,Close
"Cookie Name","Cookie Name"
"Cookie Provider","Cookie Provider"
"Cookie Description","Cookie Description"
"Cookie Lifetime","Cookie Lifetime"
"Cookie Type","Cookie Type"
"About ""%1"" Cookie Group","About ""%1"" Cookie Group"
"Cookie Settings","Cookie Settings"
"Allow All Cookies","Allow All Cookies"
Save,Save
