Default,Default
A-clean,A-clean
B-compact,B-compact
C-stacked,C-stacked
"Component %1 is not registered","Component %1 is not registered"
Search,Search
"Search entire store here...","Search entire store here..."
"😔 We could not find anything for&nbsp;<strong>""%s""</strong>","😔 We could not find anything for&nbsp;<strong>""%s""</strong>"
"As low as","As low as"
"Regular Price","Regular Price"
"Excl. Tax","Excl. Tax"
SKU,SKU
"Add to Cart","Add to Cart"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"Be the first to review this product","Be the first to review this product"
Reviews,Reviews
"Could not add item to wishlist.","Could not add item to wishlist."
"%1 has been added to your Wish List.","%1 has been added to your Wish List."
"Press to skip carousel","Press to skip carousel"
Previous,Previous
"Go to item","Go to item"
Next,Next
"View All","View All"
Products,Products
"Hyva Themes","Hyva Themes"
"Select Search Form Wrap Header","Select Search Form Wrap Header"
